,article_id,product_code,prod_name,product_type_no,product_type_name,product_group_name,graphical_appearance_no,graphical_appearance_name,colour_group_code,colour_group_name,perceived_colour_value_id,perceived_colour_value_name,perceived_colour_master_id,perceived_colour_master_name,department_no,department_name,index_code,index_name,index_group_no,index_group_name,section_no,section_name,garment_group_no,garment_group_name,detail_desc
2323,402382009,402382,Icona Premium scarf,80,Scarf,Accessories,1010016,Solid,13,Beige,4,Dark,11,Beige,3439,EQ & Special Collections,C,Ladies Accessories,1,Ladieswear,65,Womens Big accessories,1019,Accessories,Scarf in a soft cashmere knit. Size 60x180 cm.
29553,625653029,625653,MOLLY FANCY,308,Hoodie,Garment Upper body,1010005,Colour blocking,73,Dark Blue,4,Dark,2,Blue,7920,Kids Girl Jersey Basic,H,Children Sizes 92-140,4,Baby/Children,79,Girls Underwear & Basics,1002,Jersey Basic,"Jacket in sweatshirt fabric with a hood, zip down the front, front pockets and ribbing at the cuffs and hem. Soft brushed inside."
92078,852389001,852389,TC - ZIPPER PLASTIC L,762,Zipper head,Garment and Shoe care,1010016,Solid,9,Black,4,Dark,5,Black,4920,Take care,A,Ladieswear,1,Ladieswear,97,Collaborations,1001,Unknown,"ZlideOn zip tab to quickly repair a broken zip in your favourite garment. Can be used with plastic zips that are 6 mm wide when closed. These zips are often found in children’s clothes, all-in-one-suits and jackets. Remove the old zip tab and click on the ZlideOn tab."
33622,639395002,639395,Cool Eve,81,Sunglasses,Accessories,1010016,Solid,5,Gold,7,Medium,15,Metal,8888,Sunglasses,C,Ladies Accessories,1,Ladieswear,66,Womens Small accessories,1019,Accessories,"Aviator-style sunglasses with metal frames and UV-protective, tinted lenses."
99977,887770004,887770,Orvar strap top,253,Vest top,Garment Upper body,1010016,Solid,30,Other Orange,5,Bright,3,Orange,1510,Blouse,A,Ladieswear,1,Ladieswear,6,Womens Casual,1010,Blouses,"Top in an airy, crinkled weave with a gentle V-neck and narrow, adjustable shoulder straps."
96128,869159003,869159,DOVER funnelneck TP,308,Hoodie,Garment Upper body,1010008,Front print,93,Dark Green,4,Dark,19,Green,8748,Young Boy Jersey Fancy,I,Children Sizes 134-170,4,Baby/Children,47,Young Boy,1005,Jersey Fancy,Long-sleeved top in printed sweatshirt fabric with a wrapover funnel collar and ribbing at the cuffs and hem. Soft brushed inside.
19246,583131012,583131,Didier fancy 3p,80,Scarf,Accessories,1010001,All over pattern,71,Light Blue,1,Dusty Light,2,Blue,2950,Baby Toys/Acc,G,Baby Sizes 50-98,4,Baby/Children,44,Baby Essentials & Complements,1019,Accessories,Triangular scarves in soft jersey with an adjustable press-stud fastening at the back of the neck.
42612,673638001,673638,Son V-neck,252,Sweater,Garment Upper body,1010016,Solid,9,Black,4,Dark,5,Black,3708,Loungewear,A,Ladieswear,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1017,"Under-, Nightwear","Fine-knit, V-neck jumper with ribbing around the neckline, cuffs and hem."
29880,626442004,626442,PERFECT HOOD,252,Sweater,Garment Upper body,1010008,Front print,51,Light Pink,1,Dusty Light,4,Pink,8716,Young Girl Jersey Fancy,I,Children Sizes 134-170,4,Baby/Children,77,Young Girl,1005,Jersey Fancy,"Top in sweatshirt fabric with a motif, lined hood, long sleeves and ribbing at the cuffs and hem. Soft brushed inside."
64607,742187001,742187,PARIS 2-p tights,272,Trousers,Garment Lower body,1010026,Other structure,51,Light Pink,1,Dusty Light,4,Pink,6564,Newborn,G,Baby Sizes 50-98,4,Baby/Children,44,Baby Essentials & Complements,1005,Jersey Fancy,"Leggings in soft, ribbed organic cotton jersey with an elasticated waist and small bow at the front. Overlocked, crinkled edges at the hems."
98090,877369001,877369,CHERRY JRSY,275,Skirt,Garment Lower body,1010004,Check,9,Black,4,Dark,5,Black,1444,Skirts,D,Divided,2,Divided,53,Divided Collection,1012,Skirts,"Short, fitted skirt in stretch jersey. Regular waist with concealed elastication.."
70935,762173004,762173,Paul windbreaker,308,Hoodie,Garment Upper body,1010016,Solid,14,Dark Beige,2,Medium Dusty,13,Brown,5252,Jacket Casual,F,Menswear,3,Menswear,31,Mens Outerwear,1007,Outdoor,"Windbreaker in a nylon weave with a lined, drawstring hood and a zip down the front. Side pockets, an inner pocket and elasticated cuffs. Lined."
46810,686826016,686826,Noora,252,Sweater,Garment Upper body,1010016,Solid,22,Yellow,7,Medium,8,Yellow,7930,Young Girl Jersey Basic,I,Children Sizes 134-170,4,Baby/Children,79,Girls Underwear & Basics,1002,Jersey Basic,"Top in organic cotton sweatshirt fabric with low dropped shoulders, long sleeves with a print motif and ribbing around the neckline and cuffs."
79250,796971001,796971,Capsule Cord Trouser w Braces,272,Trousers,Garment Lower body,1010016,Solid,73,Dark Blue,4,Dark,2,Blue,7848,Boys Local Relevance,H,Children Sizes 92-140,4,Baby/Children,48,Kids Local Relevance,1023,Special Offers,"Trousers in soft, organic cotton corduroy with an adjustable, elasticated waist, zip fly and button, side pockets and welt back pockets with a button. Detachable, adjustable elastic braces."
54536,708042017,708042,LILY shorts,273,Leggings/Tights,Garment Lower body,1010025,Slub,52,Pink,5,Bright,4,Pink,7920,Kids Girl Jersey Basic,H,Children Sizes 92-140,4,Baby/Children,79,Girls Underwear & Basics,1002,Jersey Basic,Shorts in organic cotton jersey with an elasticated drawstring waist and side pockets.
84835,816995004,816995,Lily poncho,78,Other accessories,Accessories,1010016,Solid,9,Black,4,Dark,5,Black,3945,Knit & Woven,D,Divided,2,Divided,52,Divided Accessories,1019,Accessories,Poncho in an airy weave with a V-neck and fringed hem.
12500,553881016,553881,Meadow trs,272,Trousers,Garment Lower body,1010001,All over pattern,51,Light Pink,1,Dusty Light,4,Pink,7616,Kids Girl Jersey Fancy,H,Children Sizes 92-140,4,Baby/Children,76,Kids Girl,1005,Jersey Fancy,"Treggings in sturdy jersey with an elasticated waist, fake fly, fake front pockets and real back pockets."
38840,659211004,659211,Flirty Travel pack,78,Other accessories,Accessories,1010016,Solid,43,Dark Red,4,Dark,18,Red,3419,Other items,C,Ladies Accessories,1,Ladieswear,66,Womens Small accessories,1019,Accessories,"Set with a passport cover and luggage tag in grained imitation leather. The passport cover has three card compartments inside.Size 10.5x15 cm. The luggage tag has a narrow adjustable strap at the top with a metal buckle and metal pendant, and a transparent plastic pocket at the back with a removable label. Size approx 6.5x10.5 cm."
